PLEASE	P L IY Z
CALL	K AO L
STELLA	S T EH L AH
	
ASK	AE S K
HER	HH ER
TO	T UW
TO(2)	T IH
TO(3)	T AH
BRING	B R IH NG
THESE	DH IY Z
THINGS	TH IH NG Z
WITH	W IH DH
WITH(2)	W IH TH
HER	HH ER
FROM	F R AH M
THE	DH AH
THE(2)	DH IY
STORE	S T AO R
	
SIX	S IH K S
SPOONS	S P UW N Z
OF	AH V
FRESH	F R EH SH
SNOW	S N OW
PEAS	P IY Z
FIVE	F AY V
THICK	TH IH K
SLABS	S L AE B Z
OF	AH V
BLUE	B L UW
CHEESE	CH IY Z
AND	AH N D
AND(2)	AE N D
MAYBE	M EY B IY
A	AH
A(2)	EY
SNACK	S N AE K
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
HER	HH ER
BROTHER	B R AH DH ER
BOB.	B AA B
	
WE	W IY
ALSO	AO L S OW
NEED	N IY D
A	AH
A(2)	EY
SMALL	S M AO L
PLASTIC	P L AE S T IH K
SNAKE	S N EY K
AND	AH N D
AND(2)	AE N D
A	AH
A(2)	EY
BIG	B IH G
TOY	T OY
FROG	F R AA G
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
THE	DH AH
THE(2)	DH IY
KIDS.	K IH D Z
	
SHE	SH IY
CAN	K AE N
CAN(2)	K AH N
SCOOP	S K UW P
THESE	DH IY Z
THINGS	TH IH NG Z
INTO	IH N T UW
INTO(2)	IH N T AH
THREE	TH R IY
RED	R EH D
BAGS	B AE G Z
AND	AH N D
AND(2)	AE N D
WE	W IY
WILL	W IH L
WILL(2)	W AH L
GO	G OW
MEET	M IY T
HER	HH ER
WEDNESDAY	W EH N Z D IY
WEDNESDAY(2)	W EH N Z D EY
AT	AE T
THE	DH AH
THE(2)	DH IY
TRAIN	T R EY N
STATION	S T EY SH AH N
